layer,head,attention_to_copy
5,5,0.7938937544822693
6,9,0.7304643392562866
5,1,0.7277060151100159
7,10,0.7076388597488403
10,7,0.5755175948143005
7,2,0.5450279712677002
10,1,0.4803330898284912
5,0,0.47108200192451477
9,6,0.4405451714992523
11,10,0.4221915006637573
9,9,0.4103849530220032
8,1,0.38404524326324463
10,0,0.38249120116233826
10,11,0.3661879003047943
10,6,0.34866878390312195
5,8,0.34390637278556824
11,9,0.33266857266426086
8,6,0.31833571195602417
9,0,0.28516528010368347
10,10,0.284321665763855
9,1,0.2550140619277954
10,3,0.2379656732082367
7,1,0.22975774109363556
7,11,0.20798470079898834
10,4,0.19874608516693115
11,5,0.18580839037895203
9,2,0.18465456366539001
9,4,0.1807141900062561
8,10,0.1768234670162201
8,8,0.16537299752235413
11,7,0.16511262953281403
11,1,0.1647888720035553
10,8,0.16290467977523804
9,7,0.16185033321380615
7,7,0.1591309756040573
9,8,0.15412843227386475
9,11,0.15235929191112518
8,11,0.15159949660301208
10,2,0.14854882657527924
7,6,0.14824910461902618
11,6,0.14735467731952667
6,1,0.1471029818058014
8,3,0.14102783799171448
6,4,0.13766798377037048
6,10,0.1357494592666626
11,4,0.13546797633171082
7,9,0.13014529645442963
7,5,0.1298104226589203
11,11,0.12905021011829376
8,4,0.12860742211341858
4,8,0.12759153544902802
11,2,0.1255713701248169
2,1,0.12529899179935455
5,7,0.12337838858366013
3,5,0.12242958694696426
7,8,0.12234053760766983
6,2,0.12114804983139038
4,10,0.12085815519094467
8,2,0.12037409096956253
11,0,0.11858947575092316
5,9,0.11676710844039917
7,4,0.11383674293756485
9,10,0.11286022514104843
5,10,0.11203530430793762
4,2,0.11169064790010452
6,7,0.11126614362001419
8,9,0.11092251539230347
9,5,0.10897625237703323
4,5,0.10599951446056366
10,9,0.10522807389497757
10,5,0.10481295734643936
6,11,0.10441423207521439
4,0,0.10406871140003204
1,7,0.10374385863542557
6,6,0.10289901494979858
8,0,0.09898030012845993
7,3,0.0986139178276062
9,3,0.09830348938703537
1,3,0.09761138260364532
8,5,0.09756306558847427
0,9,0.0961032509803772
3,4,0.09556876868009567
1,6,0.09553617238998413
3,9,0.09510291367769241
1,9,0.09236577153205872
11,3,0.09211918711662292
8,7,0.09093329310417175
2,11,0.09058762341737747
2,4,0.09032702445983887
4,9,0.08913466334342957
11,8,0.08847610652446747
5,3,0.0882183238863945
4,4,0.08697531372308731
0,2,0.08605390787124634
5,11,0.08553971350193024
5,4,0.08479729294776917
0,8,0.0847608745098114
0,0,0.08444568514823914
4,1,0.0843317061662674
0,6,0.08319059014320374
6,3,0.08073107898235321
5,2,0.07904639840126038
1,8,0.07795777916908264
0,11,0.07745163142681122
6,5,0.07732116430997849
1,4,0.07658908516168594
1,5,0.0754692554473877
3,1,0.07423438131809235
2,6,0.07029850035905838
3,11,0.06647129356861115
4,6,0.06584836542606354
2,0,0.0651516392827034
5,6,0.0628240704536438
1,10,0.062307871878147125
3,10,0.06101062148809433
7,0,0.05910786613821983
6,0,0.051528200507164
1,2,0.05143192782998085
0,10,0.05032862350344658
3,3,0.04927177354693413
2,10,0.04827217012643814
4,3,0.04670295864343643
2,7,0.04480545595288277
1,1,0.043207038193941116
0,7,0.04065079987049103
2,8,0.03809455782175064
1,0,0.03431254252791405
4,7,0.032663919031620026
3,8,0.029896914958953857
3,0,0.02742530032992363
2,3,0.02010463736951351
3,6,0.019101465120911598
2,5,0.016001809388399124
2,9,0.015616846270859241
6,8,0.013389233499765396
0,4,0.008508153259754181
3,2,0.0077882809564471245
1,11,0.00633685477077961
3,7,0.005231692921370268
2,2,0.0038614359218627214
0,1,0.0010726455366238952
0,3,0.0006355327204801142
0,5,0.0005982797010801733
4,11,3.367894407801941e-08
